Sexo y grupos de edad;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75 - 79;20,918;21,127;21,305;21,422;21,487;21,504;21,352;21,147;20,902;20,606;20,247;20,720;21,204;21,711;22,213;22,723;23,053;23,380;23,719;24,039;24,352;25,439;26,567;27,737;28,958;30,225;31,725;33,300;34,925;36,666;38,496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80 y más;8,413;8,655;8,888;9,102;9,301;9,484;9,569;9,629;9,658;9,660;9,625;10,048;10,493;10,960;11,448;11,957;12,462;12,990;13,546;14,122;14,722;15,263;15,826;16,416;17,018;17,635;18,481;19,360;20,281;21,235;22,227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;2,176,023;2,211,974;2,247,355;2,283,509;2,317,240;2,349,780;2,384,016;2,417,604;2,452,009;2,484,062;2,514,863;2,556,644;2,598,019;2,640,679;2,681,008;2,720,330;2,759,711;2,798,655;2,838,830;2,876,636;2,913,388;2,948,768;2,983,662;3,019,715;3,053,387;3,085,980;3,116,464;3,146,469;3,177,541;3,206,292;3,233,989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15 - 19;206,009;204,809;203,582;202,235;200,803;199,299;197,074;194,797;192,487;190,158;187,776;187,851;187,903;187,934;187,943;187,939;188,281;188,606;188,919;189,220;189,512;188,496;187,478;186,458;185,435;184,410;184,595;184,781;184,968;185,156;185,345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20 - 24;316,507;320,900;325,121;330,188;333,813;336,870;340,660;344,433;348,153;351,884;355,612;358,561;361,521;364,497;367,486;370,497;370,667;370,835;370,997;371,150;371,295;372,238;373,163;374,076;374,975;375,861;373,986;372,105;370,216;368,319;366,412;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 - 29;313,046;317,535;321,790;326,159;329,941;333,362;337,703;341,847;346,837;350,259;353,081;357,897;362,718;367,552;372,393;377,248;380,937;384,631;388,333;392,041;395,764;396,376;396,972;397,549;398,105;398,639;399,975;401,280;402,565;403,825;405,063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30 - 34;285,393;288,949;292,298;295,665;298,667;301,396;305,524;309,411;313,423;316,832;319,888;325,050;330,040;335,974;340,346;344,107;349,261;354,421;359,595;364,776;369,971;374,030;378,091;382,162;386,236;390,326;391,180;392,016;392,831;393,622;394,386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35 - 39;256,920;260,187;263,341;266,460;269,390;272,153;275,496;278,680;281,852;284,659;287,239;292,198;296,952;301,847;306,138;310,101;315,313;320,355;326,335;330,766;334,589;339,821;345,059;350,308;355,567;360,842;364,947;369,057;373,175;377,297;381,438;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40 - 44;214,241;219,858;225,487;231,142;236,816;242,525;246,099;249,587;253,041;256,321;259,452;263,623;267,626;271,648;275,294;278,702;283,596;288,289;293,120;297,359;301,275;306,430;311,418;317,328;321,716;325,511;330,661;335,819;340,991;346,170;351,368;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45 - 49;169,782;175,322;180,963;186,611;192,489;198,523;204,003;209,489;214,982;220,520;226,051;229,947;233,743;237,550;241,151;244,620;248,720;252,664;256,630;260,242;263,630;268,445;273,071;277,835;282,037;285,936;291,006;295,924;301,729;306,081;309,868;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
